block,dataset,regime,seed,method,proxy_size,found,valid,paired,status,reason
baseline,cifar,alpha1p0,43,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha1p0,43,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,44,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,44,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,44,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha1p0,44,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha1p0,44,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha1p0,44,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha1p0,44,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,42,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,42,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,42,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha0p5,42,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,42,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha0p5,42,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha0p5,42,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,43,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,43,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,43,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha0p5,43,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,43,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha0p5,43,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha0p5,43,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,44,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,44,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,44,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha0p5,44,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p5,44,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha0p5,44,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha0p5,44,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,42,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,42,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,42,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha0p1,42,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,42,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha0p1,42,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha0p1,42,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,43,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,43,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,43,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha0p1,43,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,43,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha0p1,43,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha0p1,43,presence_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,44,feddf_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,44,expert_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,44,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,alpha0p1,44,oracle_prob,10000,1,1,1,complete,
baseline,cifar,alpha0p1,44,feddf_logit,10000,1,1,1,complete,
baseline,cifar,alpha0p1,44,oracle_logit,10000,1,1,1,complete,
presence,cifar,alpha0p1,44,presence_prob,10000,1,1,1,complete,
baseline,cifar,multi,42,feddf_prob,10000,1,1,1,complete,
baseline,cifar,multi,42,expert_prob,10000,1,1,1,complete,
baseline,cifar,multi,42,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,multi,42,oracle_prob,10000,1,1,1,complete,
baseline,cifar,multi,42,feddf_logit,10000,1,1,1,complete,
baseline,cifar,multi,42,oracle_logit,10000,1,1,1,complete,
presence,cifar,multi,42,presence_prob,10000,1,1,1,complete,
baseline,cifar,multi,43,feddf_prob,10000,1,1,1,complete,
baseline,cifar,multi,43,expert_prob,10000,1,1,1,complete,
baseline,cifar,multi,43,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,multi,43,oracle_prob,10000,1,1,1,complete,
baseline,cifar,multi,43,feddf_logit,10000,1,1,1,complete,
baseline,cifar,multi,43,oracle_logit,10000,1,1,1,complete,
presence,cifar,multi,43,presence_prob,10000,1,1,1,complete,
baseline,cifar,multi,44,feddf_prob,10000,1,1,1,complete,
baseline,cifar,multi,44,expert_prob,10000,1,1,1,complete,
baseline,cifar,multi,44,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,multi,44,oracle_prob,10000,1,1,1,complete,
baseline,cifar,multi,44,feddf_logit,10000,1,1,1,complete,
baseline,cifar,multi,44,oracle_logit,10000,1,1,1,complete,
presence,cifar,multi,44,presence_prob,10000,1,1,1,complete,
baseline,cifar,single,42,feddf_prob,10000,1,1,1,complete,
baseline,cifar,single,42,expert_prob,10000,1,1,1,complete,
baseline,cifar,single,42,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,single,42,oracle_prob,10000,1,1,1,complete,
baseline,cifar,single,42,feddf_logit,10000,1,1,1,complete,
baseline,cifar,single,42,oracle_logit,10000,1,1,1,complete,
presence,cifar,single,42,presence_prob,10000,1,1,1,complete,
baseline,cifar,single,43,feddf_prob,10000,1,1,1,complete,
baseline,cifar,single,43,expert_prob,10000,1,1,1,complete,
baseline,cifar,single,43,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,single,43,oracle_prob,10000,1,1,1,complete,
baseline,cifar,single,43,feddf_logit,10000,1,1,1,complete,
baseline,cifar,single,43,oracle_logit,10000,1,1,1,complete,
presence,cifar,single,43,presence_prob,10000,1,1,1,complete,
baseline,cifar,single,44,feddf_prob,10000,1,1,1,complete,
baseline,cifar,single,44,expert_prob,10000,1,1,1,complete,
baseline,cifar,single,44,expert_prob_sr,10000,1,1,1,complete,
baseline,cifar,single,44,oracle_prob,10000,1,1,1,complete,
baseline,cifar,single,44,feddf_logit,10000,1,1,1,complete,
baseline,cifar,single,44,oracle_logit,10000,1,1,1,complete,
presence,cifar,single,44,presence_prob,10000,1,1,1,complete,
CE_10000,mnist,shared,42,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,mnist,shared,43,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,mnist,shared,44,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,fmnist,shared,42,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,fmnist,shared,43,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,fmnist,shared,44,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,cifar,shared,42,supervised_proxy_ce,10000,1,1,1,complete,
CE_10000,cifar,shared,43,supervised_proxy_ce,10000,1,1,1,complete,
