dataset,regime,seed,client,epochs_run,selected_epoch,validation_accuracy
cifar,alpha0p5,42,9,17,12,0.8556149732620321
cifar,alpha0p5,43,0,28,23,0.866464339908953
cifar,alpha0p5,43,1,19,14,0.8672839506172839
cifar,alpha0p5,43,2,12,7,0.6785714285714286
cifar,alpha0p5,43,3,24,19,0.7686746987951807
cifar,alpha0p5,43,4,17,12,0.6342182890855457
cifar,alpha0p5,43,5,22,17,0.808695652173913
cifar,alpha0p5,43,6,16,11,0.8084112149532711
cifar,alpha0p5,43,7,24,19,0.7315789473684211
cifar,alpha0p5,43,8,24,19,0.7894736842105263
cifar,alpha0p5,43,9,11,6,0.7586206896551724
cifar,alpha0p5,44,0,27,22,0.8157303370786517
cifar,alpha0p5,44,1,23,18,0.8288
cifar,alpha0p5,44,2,14,9,0.864406779661017
cifar,alpha0p5,44,3,28,23,0.8842105263157894
cifar,alpha0p5,44,4,19,14,0.8464912280701754
cifar,alpha0p5,44,5,22,17,0.8545918367346939
cifar,alpha0p5,44,6,27,22,0.7906976744186046
cifar,alpha0p5,44,7,14,9,0.8446215139442231
cifar,alpha0p5,44,8,23,18,0.756701030927835
cifar,alpha0p5,44,9,19,14,0.7857142857142857
cifar,alpha0p1,42,0,8,3,0.6164383561643836
cifar,alpha0p1,42,1,13,8,0.8263888888888888
cifar,alpha0p1,42,2,15,10,0.9716494845360825
cifar,alpha0p1,42,3,21,16,0.8516579406631762
cifar,alpha0p1,42,4,23,18,0.9045183290707587
cifar,alpha0p1,42,5,22,17,0.9523809523809523
cifar,alpha0p1,42,6,22,17,0.7169811320754716
cifar,alpha0p1,42,7,13,8,0.8825622775800712
cifar,alpha0p1,42,8,15,10,0.8518518518518519
cifar,alpha0p1,42,9,9,4,0.8893280632411067
cifar,alpha0p1,43,0,13,8,0.9350132625994695
cifar,alpha0p1,43,1,9,4,0.8362831858407079
cifar,alpha0p1,43,2,17,12,0.9004282655246253
cifar,alpha0p1,43,3,40,35,0.9199372056514914
cifar,alpha0p1,43,4,7,2,0.9838709677419355
cifar,alpha0p1,43,5,14,9,0.9166666666666666
cifar,alpha0p1,43,6,21,16,0.7669491525423728
cifar,alpha0p1,43,7,8,3,0.8964646464646465
cifar,alpha0p1,43,8,23,18,0.8109756097560976
cifar,alpha0p1,43,9,18,13,0.5192307692307693
cifar,alpha0p1,44,0,17,12,0.9209039548022598
cifar,alpha0p1,44,1,15,10,0.8438735177865613
cifar,alpha0p1,44,2,26,21,0.878682842287695
cifar,alpha0p1,44,3,22,17,0.8979591836734694
cifar,alpha0p1,44,4,13,8,0.8959537572254336
cifar,alpha0p1,44,5,12,7,0.8860759493670886
cifar,alpha0p1,44,6,15,10,0.8961661341853036
cifar,alpha0p1,44,7,23,18,0.9161554192229039
cifar,alpha0p1,44,8,14,9,0.8354037267080745
cifar,alpha0p1,44,9,27,22,0.8187919463087249
cifar,multi,42,0,14,9,0.9575
cifar,multi,42,1,9,4,0.82
cifar,multi,42,2,23,18,0.9175
cifar,multi,42,3,9,4,0.97
cifar,multi,42,4,26,21,0.985
cifar,multi,42,5,17,12,0.985
cifar,multi,42,6,28,23,0.8875
cifar,multi,42,7,18,13,0.9025
cifar,multi,42,8,20,15,0.9825
cifar,multi,42,9,18,13,0.955
cifar,multi,43,0,21,16,0.9825
cifar,multi,43,1,16,11,0.8675
cifar,multi,43,2,13,8,0.8975
cifar,multi,43,3,12,7,0.955
cifar,multi,43,4,30,25,0.975
cifar,multi,43,5,13,8,0.96
cifar,multi,43,6,21,16,0.8775
cifar,multi,43,7,6,1,0.7975
cifar,multi,43,8,13,8,0.97
cifar,multi,43,9,9,4,0.94
cifar,multi,44,0,15,10,0.965
cifar,multi,44,1,40,35,0.905
cifar,multi,44,2,20,15,0.89
cifar,multi,44,3,19,14,0.9675
cifar,multi,44,4,9,4,0.9325
cifar,multi,44,5,13,8,0.965
cifar,multi,44,6,27,22,0.8975
cifar,multi,44,7,27,22,0.9425
cifar,multi,44,8,13,8,0.9525
cifar,multi,44,9,15,10,0.955
cifar,single,42,0,6,1,1.0
cifar,single,42,1,6,1,1.0
cifar,single,42,2,6,1,1.0
cifar,single,42,3,6,1,1.0
cifar,single,42,4,6,1,1.0
cifar,single,42,5,6,1,1.0
cifar,single,42,6,6,1,1.0
cifar,single,42,7,6,1,1.0
cifar,single,42,8,6,1,1.0
cifar,single,42,9,6,1,1.0
cifar,single,43,0,6,1,1.0
cifar,single,43,1,6,1,1.0
cifar,single,43,2,6,1,1.0
cifar,single,43,3,6,1,1.0
cifar,single,43,4,6,1,1.0
cifar,single,43,5,6,1,1.0
cifar,single,43,6,6,1,1.0
cifar,single,43,7,6,1,1.0
cifar,single,43,8,6,1,1.0
cifar,single,43,9,6,1,1.0
cifar,single,44,0,6,1,1.0
cifar,single,44,1,6,1,1.0
cifar,single,44,2,6,1,1.0
cifar,single,44,3,6,1,1.0
cifar,single,44,4,6,1,1.0
cifar,single,44,5,6,1,1.0
cifar,single,44,6,6,1,1.0
cifar,single,44,7,6,1,1.0
cifar,single,44,8,6,1,1.0
cifar,single,44,9,6,1,1.0
