dataset,regime,metric,mean,sd,n,seeds,contrast
cifar,single,delta_mean_selected_teachers,-9.0,0.0,3,"42,43,44",expertise
cifar,single,delta_effective_teachers,-8.999999999999998,0.0,3,"42,43,44",expertise
fmnist,alpha0p1,delta_student_test_accuracy,24.81333333333334,15.031624440935628,3,"42,43,44",expertise
fmnist,alpha0p1,delta_student_test_nll,-0.41473427268664037,0.30011007290925595,3,"42,43,44",expertise
fmnist,alpha0p1,delta_target_accuracy,30.89666666666667,14.26611836952621,3,"42,43,44",expertise
fmnist,alpha0p1,delta_target_nll,-0.7125964897754701,0.08586611401253398,3,"42,43,44",expertise
fmnist,alpha0p1,delta_target_entropy,-0.34098682787308676,0.03574516160349892,3,"42,43,44",expertise
fmnist,alpha0p1,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
fmnist,alpha0p1,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
fmnist,alpha0p1,delta_mean_selected_teachers,-6.166666666666667,0.3511884584284247,3,"42,43,44",expertise
fmnist,alpha0p1,delta_effective_teachers,-6.166666666666664,0.3511884584284247,3,"42,43,44",expertise
fmnist,alpha0p5,delta_student_test_accuracy,3.146666666666672,1.2227973394366474,3,"42,43,44",expertise
fmnist,alpha0p5,delta_student_test_nll,-0.013552948403358486,0.030435299032856536,3,"42,43,44",expertise
fmnist,alpha0p5,delta_target_accuracy,7.85666666666666,1.3020880666580648,3,"42,43,44",expertise
fmnist,alpha0p5,delta_target_nll,-0.1979476664596244,0.03369863552964172,3,"42,43,44",expertise
fmnist,alpha0p5,delta_target_entropy,-0.09319037302082522,0.019443964453749837,3,"42,43,44",expertise
fmnist,alpha0p5,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
fmnist,alpha0p5,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
fmnist,alpha0p5,delta_mean_selected_teachers,-3.9000000000000004,0.4582575694955837,3,"42,43,44",expertise
fmnist,alpha0p5,delta_effective_teachers,-3.8999999999999986,0.4582575694955837,3,"42,43,44",expertise
fmnist,alpha1p0,delta_student_test_accuracy,0.9833333333333324,0.14224392195567997,3,"42,43,44",expertise
fmnist,alpha1p0,delta_student_test_nll,0.024122259895006787,0.006132009775361463,3,"42,43,44",expertise
fmnist,alpha1p0,delta_target_accuracy,5.960000000000002,0.7336893075410033,3,"42,43,44",expertise
fmnist,alpha1p0,delta_target_nll,-0.11762468234062314,0.028725271628930935,3,"42,43,44",expertise
fmnist,alpha1p0,delta_target_entropy,-0.05470862505096955,0.01875467806728442,3,"42,43,44",expertise
fmnist,alpha1p0,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
fmnist,alpha1p0,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
fmnist,alpha1p0,delta_mean_selected_teachers,-3.0666666666666664,0.5686240703077329,3,"42,43,44",expertise
fmnist,alpha1p0,delta_effective_teachers,-3.066666666666665,0.5686240703077329,3,"42,43,44",expertise
fmnist,iid,delta_student_test_accuracy,0.06666666666666674,0.08621678104251959,3,"42,43,44",expertise
fmnist,iid,delta_student_test_nll,0.00037712687651320076,0.0010001766674236773,3,"42,43,44",expertise
fmnist,iid,delta_target_accuracy,0.26333333333333764,0.1715614564327734,3,"42,43,44",expertise
fmnist,iid,delta_target_nll,-0.007881041281246967,0.002550381856430278,3,"42,43,44",expertise
fmnist,iid,delta_target_entropy,-0.004574602904408032,0.001318690094743249,3,"42,43,44",expertise
fmnist,iid,delta_fallback_count,1000.0,0.0,3,"42,43,44",expertise
fmnist,iid,delta_fallback_rate,0.10000000000000002,1.6996749443881478e-17,3,"42,43,44",expertise
fmnist,iid,delta_mean_selected_teachers,-2.0,0.40000000000000036,3,"42,43,44",expertise
fmnist,iid,delta_effective_teachers,-0.9999999999999988,0.40000000000000124,3,"42,43,44",expertise
fmnist,multi,delta_student_test_accuracy,50.96666666666667,3.656245797718389,3,"42,43,44",expertise
fmnist,multi,delta_student_test_nll,-0.1866825056076049,0.1132939432162123,3,"42,43,44",expertise
fmnist,multi,delta_target_accuracy,58.14333333333334,3.196393801353852,3,"42,43,44",expertise
fmnist,multi,delta_target_nll,-1.57094150926937,0.006347425347372107,3,"42,43,44",expertise
fmnist,multi,delta_target_entropy,-1.5840000321192704,0.02489174045168958,3,"42,43,44",expertise
fmnist,multi,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
fmnist,multi,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
fmnist,multi,delta_mean_selected_teachers,-8.0,0.0,3,"42,43,44",expertise
fmnist,multi,delta_effective_teachers,-7.999999999999997,1.0877919644084146e-15,3,"42,43,44",expertise
fmnist,single,delta_student_test_accuracy,80.29666666666667,0.35161532010612273,3,"42,43,44",expertise
fmnist,single,delta_student_test_nll,0.6347939843495687,0.25859708331481546,3,"42,43,44",expertise
fmnist,single,delta_target_accuracy,89.35,1.1096395811253275,3,"42,43,44",expertise
fmnist,single,delta_target_nll,-2.3025785203018123,6.843368099814825e-07,3,"42,43,44",expertise
fmnist,single,delta_target_entropy,-2.3025391018147254,7.097779439630925e-06,3,"42,43,44",expertise
fmnist,single,delta_fallback_count,0.0,0.0,3,"42,43,44",expertise
fmnist,single,delta_fallback_rate,0.0,0.0,3,"42,43,44",expertise
fmnist,single,delta_mean_selected_teachers,-9.0,0.0,3,"42,43,44",expertise
fmnist,single,delta_effective_teachers,-8.999999999999998,0.0,3,"42,43,44",expertise
mnist,alpha0p1,delta_student_test_accuracy,15.336666666666662,10.437630637905013,3,"42,43,44",expertise
mnist,alpha0p1,delta_student_test_nll,-0.40024581938143045,0.2546519731562521,3,"42,43,44",expertise
mnist,alpha0p1,delta_target_accuracy,14.353333333333332,9.31876780123495,3,"42,43,44",expertise
mnist,alpha0p1,delta_target_nll,-0.6964394619931333,0.1518769793807666,3,"42,43,44",expertise
