dataset,regime,method,metric,mean,sd,n,seeds
cifar,alpha1p0,oracle_logit,student_test_accuracy,76.46333333333332,0.6201075175591232,3,"42,43,44"
cifar,alpha1p0,oracle_logit,student_test_nll,0.7045426039377848,0.014366908540161304,3,"42,43,44"
cifar,alpha0p5,feddf_prob,student_test_accuracy,68.83666666666666,1.0885923632532692,3,"42,43,44"
cifar,alpha0p5,feddf_prob,student_test_nll,0.8881402170817058,0.01868841015124847,3,"42,43,44"
cifar,alpha0p5,expert_prob,student_test_accuracy,75.38,0.6668583057891655,3,"42,43,44"
cifar,alpha0p5,expert_prob,student_test_nll,0.7905251474380494,0.04696149873028218,3,"42,43,44"
cifar,alpha0p5,expert_prob_sr,student_test_accuracy,71.37333333333333,1.316447239099742,3,"42,43,44"
cifar,alpha0p5,expert_prob_sr,student_test_nll,2.7135889925638836,0.3778923035844726,3,"42,43,44"
cifar,alpha0p5,oracle_prob,student_test_accuracy,75.89333333333332,0.741440040281975,3,"42,43,44"
cifar,alpha0p5,oracle_prob,student_test_nll,0.7388271567344665,0.04929008322501471,3,"42,43,44"
cifar,alpha0p5,feddf_logit,student_test_accuracy,65.29666666666665,3.121607491875512,3,"42,43,44"
cifar,alpha0p5,feddf_logit,student_test_nll,1.008356170018514,0.034577171111637016,3,"42,43,44"
cifar,alpha0p5,oracle_logit,student_test_accuracy,75.15666666666667,0.9011844058422976,3,"42,43,44"
cifar,alpha0p5,oracle_logit,student_test_nll,0.786076459089915,0.07131698551566064,3,"42,43,44"
cifar,alpha0p1,feddf_prob,student_test_accuracy,47.81333333333333,9.889935962044106,3,"42,43,44"
cifar,alpha0p1,feddf_prob,student_test_nll,1.469691698773702,0.29801993759856454,3,"42,43,44"
cifar,alpha0p1,expert_prob,student_test_accuracy,76.37,1.3804347141389899,3,"42,43,44"
cifar,alpha0p1,expert_prob,student_test_nll,1.0287244489034018,0.11419608768254699,3,"42,43,44"
cifar,alpha0p1,expert_prob_sr,student_test_accuracy,69.62666666666667,3.586953210362983,3,"42,43,44"
