dataset,regime,seed,method,status,rows
cifar,multi,44,energy_logit,pending,0
cifar,multi,44,expert_logit,pending,0
cifar,multi,44,oracle_logit,present,1
cifar,multi,44,expert_prob,present,1
cifar,multi,44,expert_prob_sr,present,1
cifar,multi,44,oracle_prob,present,1
cifar,single,42,feddf_logit,present,1
cifar,single,42,feddf_prob,present,1
cifar,single,42,confidence_logit,pending,0
cifar,single,42,consensus_logit,pending,0
cifar,single,42,energy_logit,pending,0
cifar,single,42,expert_logit,pending,0
cifar,single,42,oracle_logit,present,1
cifar,single,42,expert_prob,present,1
cifar,single,42,expert_prob_sr,present,1
cifar,single,42,oracle_prob,present,1
cifar,single,43,feddf_logit,present,1
cifar,single,43,feddf_prob,present,1
cifar,single,43,confidence_logit,pending,0
cifar,single,43,consensus_logit,pending,0
cifar,single,43,energy_logit,pending,0
cifar,single,43,expert_logit,pending,0
cifar,single,43,oracle_logit,present,1
cifar,single,43,expert_prob,present,1
cifar,single,43,expert_prob_sr,present,1
cifar,single,43,oracle_prob,present,1
cifar,single,44,feddf_logit,present,1
cifar,single,44,feddf_prob,present,1
cifar,single,44,confidence_logit,pending,0
cifar,single,44,consensus_logit,pending,0
cifar,single,44,energy_logit,pending,0
cifar,single,44,expert_logit,pending,0
cifar,single,44,oracle_logit,present,1
cifar,single,44,expert_prob,present,1
cifar,single,44,expert_prob_sr,present,1
cifar,single,44,oracle_prob,present,1
