dataset,regime,mean,sd,n,seeds,contrast,metric
mnist,iid,-0.0008593366908529997,0.0007016596133426303,3,"42,43,44",feddf_pooling,student_test_nll
mnist,multi,-2.3229922065416972,0.14147949014376382,3,"42,43,44",feddf_pooling,student_test_nll
mnist,single,-3.9119658000946047,2.420620809554478,3,"42,43,44",feddf_pooling,student_test_nll
cifar,alpha0p1,0.15176666666666666,0.013136336374093557,3,"42,43,44",feddf_pooling,target_accuracy
cifar,alpha0p5,0.054666666666666676,0.02115663804420099,3,"42,43,44",feddf_pooling,target_accuracy
cifar,alpha1p0,0.01989999999999999,0.01110720486891279,3,"42,43,44",feddf_pooling,target_accuracy
cifar,iid,0.001666666666666668,0.000981495457622384,3,"42,43,44",feddf_pooling,target_accuracy
cifar,multi,0.11526666666666668,0.01721752982670086,3,"42,43,44",feddf_pooling,target_accuracy
cifar,single,-0.0007999999999999952,0.007158212067269307,3,"42,43,44",feddf_pooling,target_accuracy
fmnist,alpha0p1,0.10750000000000003,0.03163652951889633,3,"42,43,44",feddf_pooling,target_accuracy
fmnist,alpha0p5,0.00930000000000005,0.0025238858928247694,3,"42,43,44",feddf_pooling,target_accuracy
fmnist,alpha1p0,0.00733333333333334,0.011750035460939322,3,"42,43,44",feddf_pooling,target_accuracy
fmnist,iid,0.0010333333333333306,0.0009712534856222326,3,"42,43,44",feddf_pooling,target_accuracy
fmnist,multi,0.20750000000000002,0.029399149647566312,3,"42,43,44",feddf_pooling,target_accuracy
fmnist,single,0.0031333333333333304,0.01724016627916719,3,"42,43,44",feddf_pooling,target_accuracy
mnist,alpha0p1,0.14403333333333335,0.08212389014978125,3,"42,43,44",feddf_pooling,target_accuracy
mnist,alpha0p5,0.011333333333333343,0.007838579803340228,3,"42,43,44",feddf_pooling,target_accuracy
mnist,alpha1p0,0.001499999999999983,0.0005000000000000004,3,"42,43,44",feddf_pooling,target_accuracy
mnist,iid,0.00019999999999997797,0.00029999999999996696,3,"42,43,44",feddf_pooling,target_accuracy
mnist,multi,0.15716666666666668,0.04716368659608081,3,"42,43,44",feddf_pooling,target_accuracy
mnist,single,0.02276666666666666,0.03839704849768188,3,"42,43,44",feddf_pooling,target_accuracy
cifar,alpha0p1,-0.1318873038653947,0.010171381862028553,3,"42,43,44",feddf_pooling,target_nll
cifar,alpha0p5,-0.037620634789258846,0.005080176983071278,3,"42,43,44",feddf_pooling,target_nll
cifar,alpha1p0,-0.01613997248433008,0.009224577636370366,3,"42,43,44",feddf_pooling,target_nll
cifar,iid,0.0005387141124186071,0.0015705689508131748,3,"42,43,44",feddf_pooling,target_nll
cifar,multi,-0.14003734654121272,0.01271351407370216,3,"42,43,44",feddf_pooling,target_nll
cifar,single,-0.002640464950984356,0.0062982608367463085,3,"42,43,44",feddf_pooling,target_nll
fmnist,alpha0p1,-0.20950520772664913,0.04153670865147595,3,"42,43,44",feddf_pooling,target_nll
fmnist,alpha0p5,-0.009522355314672751,0.006304316483678789,3,"42,43,44",feddf_pooling,target_nll
fmnist,alpha1p0,0.006105224351459289,0.005106800551500762,3,"42,43,44",feddf_pooling,target_nll
