run_id,dataset,regime,seed,method,valid,reason
dc84c98c4c03718e,fmnist,iid,42,energy_logit,True,
d7598cdd5cdbb6e7,fmnist,iid,42,expert_logit,True,
e3ce02e81a31102c,fmnist,iid,43,feddf_prob,True,
9f917542ec1bb40f,fmnist,iid,43,expert_prob,True,
58ba9d6b1437c74f,fmnist,iid,43,expert_prob_sr,True,
0b049594ce1353e9,fmnist,iid,43,oracle_prob,True,
14d0015b3f9f9051,fmnist,iid,43,feddf_logit,True,
9ba41bf7e86421d9,fmnist,iid,43,oracle_logit,True,
526ce8717d41c330,fmnist,iid,43,confidence_logit,True,
42a8efc035fc8c25,fmnist,iid,43,consensus_logit,True,
d1333cce5165256f,fmnist,iid,43,energy_logit,True,
75d22f7938affba4,fmnist,iid,43,expert_logit,True,
bfbd813f77ac3bed,fmnist,iid,44,feddf_prob,True,
fdee26de7f721f8c,fmnist,iid,44,expert_prob,True,
ddac7c41f6623345,fmnist,iid,44,expert_prob_sr,True,
05e3d24c3760d4a4,fmnist,iid,44,oracle_prob,True,
43f9dab37ad9198d,fmnist,iid,44,feddf_logit,True,
17672c75c6ba8f26,fmnist,iid,44,oracle_logit,True,
3dedc03a142bb4be,fmnist,iid,44,confidence_logit,True,
bd3d0b2efa13e5d2,fmnist,iid,44,consensus_logit,True,
afedbf8531f92b9a,fmnist,iid,44,energy_logit,True,
